date,Adjusted,x50day.SMA,x200day.SMA,cross
2018-01-02,181.419998,177.87220032000005,162.81020019499988,NA
2018-01-03,184.669998,178.00940032000005,163.0181002049999,NA
2018-01-04,184.330002,178.2032003600001,163.24175018499992,NA
2018-01-05,186.850006,178.46440032000007,163.4708502199999,NA
2018-01-08,188.279999,178.76540038000002,163.70715026999991,NA
2018-01-09,187.869995,179.11900024000002,163.95090026999995,NA
2018-01-10,187.839996,179.46380004,164.18855026499995,NA
2018-01-11,187.770004,179.66299985999996,164.42615020999992,NA
2018-01-12,179.369995,179.82100003999992,164.6562002549999,NA
2018-01-16,178.389999,179.80719997999992,164.8398002599999,NA
2018-01-17,177.600006,179.72179987999996,165.0197002349999,NA
2018-01-18,179.800003,179.69540003999995,165.19745024999997,NA
2018-01-19,181.289993,179.71300014,165.38505026999997,NA
2018-01-22,185.369995,179.73540003999997,165.58285025499993,NA
2018-01-23,189.350006,179.83779993999997,165.80045019999994,NA
2018-01-24,186.550003,180.0336001,166.04135023999996,NA
2018-01-25,187.479996,180.1786001,166.27020026,NA
2018-01-26,190,180.35899988,166.50240027499996,NA
2018-01-29,185.979996,180.5835998,166.75280028499998,NA
2018-01-30,187.119995,180.74179957999996,166.98480025499993,NA
2018-01-31,186.889999,180.92519954,167.22345023499994,NA
2018-02-01,193.089996,181.07119959999997,167.45080023999995,NA
2018-02-02,190.279999,181.35299951999994,167.71145018499993,NA
2018-02-05,181.259995,181.58379939999998,167.95150015999997,NA
2018-02-06,185.309998,181.57179927999996,168.13880011999998,NA
2018-02-07,180.179993,181.66059934,168.34695014500002,NA
2018-02-08,171.580002,181.60859922,168.520500105,NA
2018-02-09,176.110001,181.37959928,168.64595008999996,NA
2018-02-12,176.410004,181.25339934,168.793700105,NA
2018-02-13,173.149994,181.27899932,168.93725013999995,NA
2018-02-14,179.520004,181.19839934000004,169.05175011,NA
2018-02-15,179.960007,181.28679929999998,169.18705009500002,NA
2018-02-16,177.360001,181.45659942000003,169.32295013500004,NA
2018-02-20,176.009995,181.54719940000004,169.45075012500004,NA
2018-02-21,177.910004,181.54619933999996,169.57655007000005,NA
2018-02-22,178.990005,181.50159943999998,169.71490006500005,NA
2018-02-23,183.289993,181.50139954,169.85455010000004,NA
2018-02-26,184.929993,181.58639953999995,170.018600085,NA
2018-02-27,181.460007,181.74579925999998,170.19180008500004,NA
2018-02-28,178.320007,181.80899934,170.34890015500008,NA
2018-03-01,175.940002,181.8075995,170.48885018000004,NA
2018-03-02,176.619995,181.72279967999998,170.61760018000004,NA
2018-03-05,180.399994,181.63879944,170.75180016000002,NA
2018-03-06,179.779999,181.65659942,170.92955010000003,NA
2018-03-07,183.710007,181.69439941999997,171.09015007500003,NA
2018-03-08,182.339996,181.81959961999993,171.26840012000005,NA
2018-03-09,185.229996,181.92239959999995,171.43890007500002,NA
2018-03-12,184.759995,182.10719941999997,171.62470001999998,NA
2018-03-13,181.880005,182.24999942,171.79830002999998,NA
2018-03-14,184.190002,182.32919955999998,171.94790002000002,NA
2018-03-15,183.860001,182.48379946,172.10820000500004,NA
2018-03-16,185.089996,182.53259952,172.265599985,NA
2018-03-19,172.559998,182.54099948000004,172.43374993,NA
2018-03-20,168.149994,182.30559940000003,172.53889992500004,NA
2018-03-21,169.389999,181.93159916000002,172.61159989000004,NA
2018-03-22,164.889999,181.55379915999998,172.69039986000004,NA
2018-03-23,159.389999,181.09419923999997,172.75079986500003,NA
2018-03-26,160.059998,180.52519930000003,172.78214988500002,NA
2018-03-27,152.220001,179.97099918000004,172.80889984000004,NA
2018-03-28,153.029999,179.4279993,172.82199981500008,NA
2018-03-29,159.789993,178.92079930000003,172.8449498000001,NA
2018-04-02,155.389999,178.56459904,172.8904998000001,NA
2018-04-03,156.110001,178.07639895999998,172.91619979500007,NA
2018-04-04,155.100006,177.57279911999998,172.9477497850001,NA
2018-04-05,159.339996,176.96739934000001,172.97004982000013,NA
2018-04-06,157.199997,176.36719914000003,173.00239982500014,NA
2018-04-09,157.929993,175.78019902,173.02714981000017,NA
2018-04-10,165.039993,175.18919896,173.04724975500017,NA
2018-04-11,166.320007,174.68999882,173.10544975000016,NA
2018-04-12,163.869995,174.29679904,173.1616997500001,NA
2018-04-13,164.520004,173.83179904000005,173.2130997450001,NA
2018-04-16,164.830002,173.38439914000003,173.28279975500013,death
2018-04-17,168.660004,172.81919926000003,173.34074974000015,NA
2018-04-18,166.360001,172.38679936000005,173.42884979500016,NA
2018-04-19,168.100006,172.08879948000006,173.50574982000018,NA
2018-04-20,166.279999,171.74459964000002,173.60409988500015,NA
2018-04-23,165.839996,171.46659976000007,173.6837999000001,NA
2018-04-24,159.690002,171.35179964000002,173.76889984500013,NA
2018-04-25,159.690002,171.02339966,173.8101498450001,NA
2018-04-26,174.160004,170.68899962000003,173.8410998550001,NA
2018-04-27,173.589996,170.70919982000004,173.93554985500015,NA
2018-04-30,172,170.59059966000004,174.0089998650001,NA
2018-05-01,173.860001,170.43139952000004,174.0726998900001,NA
2018-05-02,176.070007,170.36139952000002,174.1421498900001,NA
2018-05-03,174.020004,170.36259976000002,174.2238499450001,NA
2018-05-04,176.610001,170.28479976,174.27964996000009,NA
2018-05-07,177.970001,170.23719968,174.3419999700001,NA
2018-05-08,178.919998,170.13079984000004,174.40919998000015,NA
2018-05-09,182.660004,170.01059994,174.48165000500015,NA
2018-05-10,185.529999,170.03459987999997,174.56495002500014,NA
2018-05-11,186.990005,170.17879972,174.66620002500014,NA
2018-05-14,186.639999,170.39979977999997,174.77310004500015,NA
