date,Adjusted,x50day.SMA,x200day.SMA,cross
2018-01-02,167.19989,169.92980038,155.91399986500002,NA
2018-01-03,167.170776,170.25540035999995,156.07534981500004,NA
2018-01-04,167.947266,170.57500027999995,156.22919976,NA
2018-01-05,169.859406,170.91220029999997,156.39514977500002,NA
2018-01-08,169.2285,171.27020017999993,156.56304978499998,NA
2018-01-09,169.209091,171.62900021999994,156.73019982499997,NA
2018-01-10,169.170258,171.96740017999997,156.89864984,NA
2018-01-11,170.13118,172.19219997999997,157.06569978,NA
2018-01-12,171.888031,172.36339994,157.22309976,NA
2018-01-16,171.014465,172.52439999999996,157.387949765,NA
2018-01-17,173.839005,172.71040006000004,157.54924981,NA
2018-01-18,173.994293,172.93020016,157.72644981999997,NA
2018-01-19,173.217789,173.06540006000003,157.90424981,NA
2018-01-22,171.800674,173.14960019999998,158.072699825,NA
2018-01-23,171.839493,173.19340023999996,158.237599805,NA
2018-01-24,169.102325,173.2094,158.40449974999999,NA
2018-01-25,166.083679,173.17619991999996,158.558899775,NA
2018-01-26,166.471924,173.10499998000003,158.69859979,NA
2018-01-29,163.026215,173.05579986000004,158.84799974,NA
2018-01-30,162.065277,172.98820008,158.97879976000002,NA
2018-01-31,162.51178,172.94600006000002,159.10839975,NA
2018-02-01,162.851486,172.8725998,159.236399705,NA
2018-02-02,155.78537,172.82519990000003,159.369299715,NA
2018-02-05,151.893127,172.63559997999997,159.46839975,NA
2018-02-06,158.241013,172.3026001,159.538649765,NA
2018-02-07,154.853531,172.06399994000003,159.64244974,NA
2018-02-08,150.592499,171.75539978000003,159.72194971000002,NA
2018-02-09,152.434464,171.37659974000005,159.775049685,NA
2018-02-12,158.574326,171.04339968000005,159.83869973999998,NA
2018-02-13,160.162903,170.90799990000002,159.93329981,NA
2018-02-14,163.115891,170.75779970000002,160.03674982,NA
2018-02-15,168.593033,170.68419953999998,160.140699785,NA
2018-02-16,168.047272,170.74799958000003,160.268099835,NA
2018-02-20,167.482025,170.80379946000002,160.39494980999999,NA
2018-02-21,166.721848,170.86059968,160.52154984499998,NA
2018-02-22,168.115509,170.89559968,160.632099845,NA
2018-02-23,171.039246,170.95819978,160.72954986999997,NA
2018-02-26,174.421036,171.01479982,160.83709984499995,NA
2018-02-27,173.855804,171.1601999,160.96564987499994,NA
2018-02-28,173.592667,171.28259979999999,161.08784988499994,NA
2018-03-01,170.551941,171.40059967999997,161.1979498299999,NA
2018-03-02,171.731186,171.42119966,161.29444984499995,NA
2018-03-05,172.325714,171.41699984000002,161.39814987499992,NA
2018-03-06,172.179504,171.46260012000002,161.53099990999993,NA
2018-03-07,170.581207,171.50899996,161.65164993499994,NA
2018-03-08,172.442642,171.50940004,161.76149993999994,NA
2018-03-09,175.405365,171.54800018000003,161.87624992499994,NA
2018-03-12,177.101135,171.73619996000002,162.00714988999994,NA
2018-03-13,175.39563,171.95859986,162.14904991499995,NA
2018-03-14,173.904495,172.13639984000002,162.27954994499996,NA
2018-03-15,174.109161,172.32059996,162.40369994999995,NA
2018-03-16,173.495193,172.44839994000003,162.52859992999996,NA
2018-03-19,170.844345,172.56420010000002,162.65489997499995,NA
2018-03-20,170.785858,172.60960018000006,162.76550002499997,NA
2018-03-21,166.916748,172.61440028000004,162.86445006499997,NA
2018-03-22,164.558273,172.55280024,162.95115011999994,NA
2018-03-23,160.747635,172.44320032,163.02315016499995,NA
2018-03-26,168.378662,172.25620049999998,163.07100019999996,NA
2018-03-27,164.061218,172.20600059999998,163.15990019499995,NA
2018-03-28,162.24852,172.03100059999997,163.25670019499995,NA
2018-03-29,163.515457,171.83680048,163.36200018499994,NA
2018-04-02,162.44342,171.61040033999998,163.46795019999996,NA
2018-04-03,164.10997,171.35880029999996,163.57555014499994,NA
2018-04-04,167.248123,171.15740014,163.69605017499995,NA
2018-04-05,168.407867,171.04960015999998,163.84275015999995,NA
2018-04-06,164.100235,170.96480035999997,163.97505019499994,NA
2018-04-09,165.727783,170.84800043999996,164.09190024499992,NA
2018-04-10,168.846451,170.82680047999997,164.21280028499993,NA
2018-04-11,168.057022,170.86160058,164.35090025999995,NA
2018-04-12,169.713821,170.95120047999998,164.48170027499992,NA
2018-04-13,170.288803,171.09460044,164.623300235,NA
2018-04-16,171.35112,171.2406005,164.77830023499996,NA
2018-04-17,173.709595,171.40140066,164.92825025999994,NA
2018-04-18,173.319763,171.75620075999998,165.10105031999996,NA
2018-04-19,168.407867,172.18320058,165.27015027999994,NA
2018-04-20,161.507813,172.37860065999996,165.41665029499995,NA
2018-04-23,161.040039,172.50220081999996,165.5248003199999,NA
2018-04-24,158.798492,172.70400104,165.63735036499992,NA
2018-04-25,159.490433,172.834601,165.73115040999994,NA
2018-04-26,160.045959,172.85340073999998,165.8241003899999,NA
2018-04-27,158.194244,172.85100083999998,165.91755039999993,NA
2018-04-30,161.059509,172.75000108,166.0004504099999,NA
2018-05-01,164.801895,172.59540088000003,166.0879003649999,NA
2018-05-02,172.082062,172.52880114000004,166.18820042999997,NA
2018-05-03,172.393906,172.62320115999998,166.32325047499995,NA
2018-05-04,179.157516,172.739601,166.45730045999994,NA
2018-05-07,180.45372,172.96620104,166.62135045,NA
2018-05-08,181.321091,173.15940112,166.79545048999998,NA
2018-05-09,182.597794,173.30100116000003,166.97435048499995,NA
2018-05-10,185.209671,173.48040120000002,167.15070050999995,NA
2018-05-11,184.505264,173.71880116,167.33720044999995,NA
2018-05-14,184.074799,173.99060108,167.51285039499996,NA
2018-05-15,182.40184,174.22940082000002,167.70080037499997,NA
