"company","2012-10-29","2012-11-05","2012-11-12","2012-11-19","2012-11-26","2012-12-03","2012-12-10","2012-12-17","2012-12-24","2012-12-31","2013-01-07","2013-01-14","2013-01-21","2013-01-28","2013-02-04","2013-02-11","2013-02-18","2013-02-25","2013-03-04","2013-03-11","2013-03-18","2013-03-25","2013-04-01","2013-04-08","2013-04-15","2013-04-22","2013-04-29","2013-05-06","2013-05-13","2013-05-20","2013-05-27","2013-06-03","2013-06-10","2013-06-17","2013-06-24","2013-07-01","2013-07-08","2013-07-15","2013-07-22","2013-07-29","2013-08-05","2013-08-12","2013-08-19","2013-08-26","2013-09-02","2013-09-09","2013-09-16","2013-09-23","2013-09-30","2013-10-07","2013-10-14","2013-10-21","2013-10-28","2013-11-04","2013-11-11","2013-11-18","2013-11-25","2013-12-02","2013-12-09","2013-12-16","2013-12-23","2013-12-30","2014-01-06","2014-01-13","2014-01-20","2014-01-27","2014-02-03","2014-02-10","2014-02-17","2014-02-24","2014-03-03","2014-03-10","2014-03-17","2014-03-24","2014-03-31","2014-04-07","2014-04-14","2014-04-21","2014-04-28","2014-05-05","2014-05-12","2014-05-19","2014-05-26","2014-06-02","2014-06-09","2014-06-16","2014-06-23","2014-06-30","2014-07-07","2014-07-14","2014-07-21","2014-07-28","2014-08-04","2014-08-11","2014-08-18","2014-08-25","2014-09-01","2014-09-08","2014-09-15","2014-09-22","2014-09-29","2014-10-06","2014-10-13","2014-10-20","2014-10-27","2014-11-03","2014-11-10","2014-11-17","2014-11-24","2014-12-01","2014-12-08","2014-12-15","2014-12-22","2014-12-29","2015-01-05","2015-01-12","2015-01-19","2015-01-26","2015-02-02","2015-02-09","2015-02-16","2015-02-23","2015-03-02","2015-03-09","2015-03-16","2015-03-23","2015-03-30","2015-04-06","2015-04-13","2015-04-20","2015-04-27","2015-05-04","2015-05-11","2015-05-18","2015-05-25","2015-06-01","2015-06-08","2015-06-15","2015-06-22","2015-06-29","2015-07-06","2015-07-13","2015-07-20","2015-07-27","2015-08-03","2015-08-10","2015-08-17","2015-08-24","2015-08-31","2015-09-07","2015-09-14","2015-09-21","2015-09-28","2015-10-05","2015-10-12","2015-10-19","2015-10-26","2015-11-02","2015-11-09","2015-11-16","2015-11-23","2015-11-30","2015-12-07","2015-12-14","2015-12-21","2015-12-28","2016-01-04","2016-01-11","2016-01-18","2016-01-25","2016-02-01","2016-02-08","2016-02-15","2016-02-22","2016-02-29","2016-03-07","2016-03-14","2016-03-21","2016-03-28","2016-04-04","2016-04-11","2016-04-18","2016-04-25","2016-05-02","2016-05-09","2016-05-16","2016-05-23","2016-05-30","2016-06-06","2016-06-13","2016-06-20","2016-06-27","2016-07-04","2016-07-11","2016-07-18","2016-07-25","2016-08-01","2016-08-08","2016-08-15","2016-08-22","2016-08-29","2016-09-05","2016-09-12","2016-09-19","2016-09-26","2016-10-03","2016-10-10","2016-10-17","2016-10-24","2016-10-31","2016-11-07","2016-11-14","2016-11-21","2016-11-28","2016-12-05","2016-12-12","2016-12-19","2016-12-26","2017-01-02","2017-01-09","2017-01-16","2017-01-23","2017-01-30","2017-02-06","2017-02-13","2017-02-20","2017-02-27","2017-03-06","2017-03-13","2017-03-20","2017-03-27","2017-04-03","2017-04-10","2017-04-17","2017-04-24","2017-05-01","2017-05-08","2017-05-15","2017-05-22","2017-05-29","2017-06-05","2017-06-12","2017-06-19","2017-06-26","2017-07-03","2017-07-10","2017-07-17","2017-07-24","2017-07-31","2017-08-07","2017-08-14","2017-08-21","2017-08-28","2017-09-04","2017-09-11","2017-09-18","2017-09-25","2017-10-02","2017-10-09","2017-10-16","2017-10-23","2017-10-30"
"FB",21.18,19.209999,23.559999,24,28,27.49,26.809999,26.26,25.91,28.76,31.719999,29.66,31.540001,29.73,28.549999,28.32,27.129999,27.780001,27.959999,26.65,25.73,25.58,27.389999,27.4,25.73,26.85,28.309999,26.68,26.25,24.309999,24.35,23.290001,23.629999,24.530001,24.879999,24.370001,25.91,25.879999,34.009998,38.049999,38.5,37.080002,40.549999,41.290001,43.950001,44.310001,47.490002,51.240002,51.040001,49.110001,54.220001,51.950001,49.75,47.529999,49.009998,46.23,47.009998,47.939999,53.32,55.119999,55.439999,54.560001,57.939999,56.299999,54.450001,62.57,64.32,67.089996,68.589996,68.459999,69.800003,67.720001,67.239998,60.009998,56.75,58.529999,58.939999,57.709999,60.459999,57.240002,58.02,61.349998,63.299999,62.5,64.5,64.5,67.599998,66.290001,66.339996,68.419998,75.190002,72.360001,73.059998,73.629997,74.57,74.82,77.260002,77.480003,77.910004,78.790001,77.440002,72.910004,75.949997,80.669998,74.989998,75.599998,74.879997,73.75,77.699997,76.360001,77.830002,79.879997,80.779999,78.449997,77.739998,75.18,77.830002,75.910004,74.470001,75.739998,79.900002,78.970001,80.010002,78.050003,83.800003,83.300003,81.559998,82.040001,80.779999,81.529999,78.989998,78.510002,80.419998,80.540001,79.190002,82.139999,81.529999,82.510002,88.010002,87.290001,87.949997,94.970001,96.949997,94.010002,94.300003,94.419998,86.059998,91.010002,88.260002,92.050003,94.400002,92.769997,92.07,93.239998,97.540001,102.190002,101.970001,107.099998,103.949997,107.32,105.449997,106.18,102.120003,104.040001,105.019997,104.660004,97.330002,94.970001,97.940002,112.209999,104.07,102.010002,104.57,107.919998,108.389999,109.410004,111.449997,113.050003,116.059998,110.629997,109.639999,110.559998,117.580002,119.489998,119.809998,117.349998,119.379997,118.470001,116.620003,113.019997,112.080002,114.190002,117.239998,116.860001,121,123.940002,125.150002,124.879997,123.559998,124.959999,126.510002,127.099998,129.070007,127.959999,128.270004,128.990005,127.879997,132.070007,131.289993,120.75,119.019997,117.019997,120.379997,115.400002,119.68,119.870003,117.269997,115.050003,123.410004,128.339996,127.040001,132.179993,130.979996,134.190002,133.529999,135.440002,137.169998,138.789993,139.839996,140.339996,142.050003,140.779999,139.389999,143.679993,150.25,150.240005,150.330002,148.059998,152.130005,153.610001,149.600006,150.639999,155.070007,150.979996,151.440002,159.970001,164.429993,172.449997,169.619995,168.080002,167.410004,166.320007,172.020004,170.949997,171.639999,170.539993,170.869995,172.229996,173.740005,174.979996,177.880005,179.869995
"GOOG",341.737335,329.372742,321.498962,331.826782,346.928558,339.894318,348.711975,355.502808,347.743256,366.600616,367.604095,349.978729,374.399902,385.294037,390.147461,393.883179,397.271149,400.490204,413.073364,404.518982,402.536896,394.528961,388.994965,392.472351,397.350616,398.120605,420.127472,437.270966,451.652435,433.838287,432.795074,437.022583,434.692749,437.618713,437.340515,443.858124,458.517792,445.403076,439.814423,450.355865,442.328094,425.68631,432.293335,420.713654,436.948059,441.662415,448.637054,435.363373,433.356445,433.177612,502.437134,504.319885,510.20163,504.732208,513.440552,512.610962,526.37146,531.478271,526.96759,546.753906,555.586426,548.929749,561.438354,571.547607,558.283875,586.669312,584.91571,597.513733,598.005554,603.897217,603.470032,582.610657,587.697571,556.927734,540.169861,527.698425,533.168335,513.3573,525.04303,515.893311,517.782959,549.677551,556.828247,553.28772,548.742737,553.317566,574.083374,581.53241,576.012756,591.825806,585.79895,562.974487,565.659729,570.343933,579.374268,568.474243,582.875061,572.472229,592.820374,573.944153,572.134094,541.512451,508.374695,536.828247,556.022705,538.051514,541.422974,534.560669,538.867004,522.387634,515.82373,513.526367,531.10968,521.937744,493.454498,505.299316,536.994873,531.594604,528.093872,546.00531,536.000366,555.343933,564.578125,544.324585,557.293213,545.338989,532.59906,537.054565,521.181885,561.967468,537.900024,538.219971,533.849976,540.109985,532.109985,533.330017,532.330017,536.690002,531.690002,523.400024,530.130005,672.929993,623.559998,625.609985,635.299988,657.119995,612.47998,630.380005,600.700012,625.77002,629.25,611.969971,626.909973,643.609985,662.200012,702,710.809998,733.76001,717,756.599976,750.26001,766.809998,738.869995,739.309998,748.400024,758.880005,714.469971,694.450012,725.25,742.950012,683.570007,682.400024,700.909973,705.070007,710.890015,726.820007,737.599976,735.299988,749.909973,739.150024,759,718.77002,693.01001,711.119995,710.830017,709.73999,732.659973,722.340027,719.409973,691.719971,675.219971,699.210022,705.630005,719.849976,742.73999,768.789978,782.219971,783.219971,775.419983,769.539978,771.460022,759.659973,768.880005,786.900024,777.289978,775.080017,778.530029,799.369995,795.369995,762.02002,754.02002,760.539978,761.679993,750.5,789.289978,790.799988,789.909973,771.820007,806.150024,807.880005,805.02002,823.309998,801.48999,813.669983,828.070007,828.640015,829.080017,843.25,852.119995,814.429993,829.559998,824.669983,823.559998,843.190002,905.960022,927.130005,932.219971,934.01001,971.469971,975.599976,949.830017,939.780029,965.590027,908.72998,918.590027,955.98999,972.919983,941.530029,927.960022,914.390015,910.669983,915.890015,937.340027,926.5,920.289978,928.530029,959.109985,978.890015,989.679993,988.200012,1019.27002,1017.109985
"AMZN",232.419998,226.309998,225.229996,239.880005,252.050003,253.270004,249.190002,256.920013,245.179993,259.149994,267.940002,272.119995,283.98999,265,261.950012,265.089996,265.420013,265.73999,274.190002,261.820007,257.75,266.48999,255.479996,272.869995,260.320007,254.809998,258.049988,263.630005,269.899994,261.73999,269.200012,276.869995,273.98999,273.359985,277.690002,285.880005,307.549988,305.230011,312.01001,304.209991,297.26001,284.820007,290.01001,280.980011,295.859985,297.920013,316.339996,316.01001,319.040009,310.890015,328.929993,363.390015,359,350.309998,369.170013,372.309998,393.619995,386.950012,384.23999,402.200012,398.079987,396.440002,397.660004,399.609985,387.600006,358.690002,361.079987,357.350006,346.76001,362.100006,372.059998,373.73999,360.619995,338.290009,323,311.730011,324.910004,303.829987,308.01001,292.23999,297.700012,312.23999,312.549988,329.670013,326.269989,324.200012,324.570007,337.48999,346.200012,358.660004,324.01001,307.059998,316.799988,333.630005,331.589996,339.040009,346.380005,331.190002,331.320007,323.209991,322.73999,311.390015,303.640015,287.059998,305.459991,299.859985,327.820007,332.630005,338.640015,312.630005,307.320007,299.899994,309.089996,308.519989,296.929993,290.73999,312.390015,354.529999,374.279999,381.829987,383.660004,380.160004,380.089996,370.579987,378.48999,370.559998,372.25,382.649994,375.559998,445.100006,422.869995,433.690002,426,427.630005,429.230011,426.950012,429.920013,434.920013,438.100006,437.709991,443.51001,483.01001,529.419983,536.150024,522.619995,531.52002,494.470001,518.01001,499,529.440002,540.26001,524.25,532.539978,539.799988,570.76001,599.030029,625.900024,659.369995,642.349976,668.450012,673.26001,672.640015,640.150024,664.140015,662.789978,675.890015,607.049988,570.179993,596.380005,587,502.130005,507.079987,534.900024,555.22998,575.140015,569.609985,552.080017,582.950012,598.5,594.599976,625.890015,620.5,659.590027,673.950012,709.919983,702.799988,712.23999,725.539978,717.909973,706.390015,698.960022,725.679993,745.809998,735.440002,744.859985,758.809998,765.97998,772.559998,757.309998,769,772.440002,760.140015,778.52002,805.75,837.309998,839.429993,822.960022,818.98999,776.320007,755.049988,739.01001,760.159973,780.369995,740.340027,768.659973,757.77002,760.590027,749.869995,795.98999,817.140015,808.330017,835.77002,810.200012,827.460022,845.070007,845.23999,849.880005,852.460022,852.309998,845.609985,886.539978,894.880005,884.669983,898.530029,924.98999,934.150024,961.349976,959.840027,995.780029,1006.72998,978.309998,987.710022,1003.73999,968,978.76001,1001.809998,1025.670044,1020.039978,987.580017,967.98999,958.469971,945.26001,978.25,965.900024,986.789978,955.099976,961.349976,989.580017,1002.940002,982.909973,1100.949951,1110.849976
