X,Y,District,Long,Lat,Polygon,Dist_Index
114.16697692871094,22.281528472900447,Central and Western,114.16697692871094,22.281528472900447,1,1
114.16712951660156,22.28086280822754,Central and Western,114.16712951660156,22.28086280822754,1,1
114.16724395751964,22.28038406372076,Central and Western,114.16724395751964,22.28038406372076,1,1
114.16818237304699,22.278848648071346,Central and Western,114.16818237304699,22.278848648071346,1,1
114.16831970214844,22.278654098510742,Central and Western,114.16831970214844,22.278654098510742,1,1
114.16828918457031,22.276231765747184,Central and Western,114.16828918457031,22.276231765747184,1,1
114.16828918457031,22.274972915649414,Central and Western,114.16828918457031,22.274972915649414,1,1
114.16664123535168,22.273319244384822,Central and Western,114.16664123535168,22.273319244384822,1,1
114.16622161865234,22.271213531494197,Central and Western,114.16622161865234,22.271213531494197,1,1
114.1657943725586,22.26995086669922,Central and Western,114.1657943725586,22.26995086669922,1,1
114.1657943725586,22.268688201904297,Central and Western,114.1657943725586,22.268688201904297,1,1
114.1657943725586,22.267425537109318,Central and Western,114.1657943725586,22.267425537109318,1,1
114.16622161865234,22.266162872314567,Central and Western,114.16622161865234,22.266162872314567,1,1
114.1657943725586,22.264057159423942,Central and Western,114.1657943725586,22.264057159423942,1,1
114.16537475585937,22.26279449462902,Central and Western,114.16537475585937,22.26279449462902,1,1
114.16450500488281,22.261501312255916,Central and Western,114.16450500488281,22.261501312255916,1,1
114.16368865966797,22.260688781738395,Central and Western,114.16368865966797,22.260688781738395,1,1
114.1633071899414,22.260391235351563,Central and Western,114.1633071899414,22.260391235351563,1,1
114.16197967529297,22.259391784668082,Central and Western,114.16197967529297,22.259391784668082,1,1
114.16128540039085,22.259622573852653,Central and Western,114.16128540039085,22.259622573852653,1,1
114.16082000732422,22.259777069091854,Central and Western,114.16082000732422,22.259777069091854,1,1
114.16071319580101,22.259813308715934,Central and Western,114.16071319580101,22.259813308715934,1,1
114.15860748291038,22.25897026062023,Central and Western,114.15860748291038,22.25897026062023,1,1
114.15807342529308,22.259107589721737,Central and Western,114.15807342529308,22.259107589721737,1,1
114.15740203857422,22.259271621704045,Central and Western,114.15740203857422,22.259271621704045,1,1
114.15692138671886,22.259391784668082,Central and Western,114.15692138671886,22.259391784668082,1,1
114.1554412841798,22.260578155517635,Central and Western,114.1554412841798,22.260578155517635,1,1
114.15481567382824,22.261075973510685,Central and Western,114.15481567382824,22.261075973510685,1,1
114.15313720703136,22.261075973510685,Central and Western,114.15313720703136,22.261075973510685,1,1
114.15229034423828,22.260234832763786,Central and Western,114.15229034423828,22.260234832763786,1,1
114.15208435058594,22.25960350036621,Central and Western,114.15208435058594,22.25960350036621,1,1
114.15187072753906,22.258972167968864,Central and Western,114.15187072753906,22.258972167968864,1,1
114.15145111083984,22.25770759582531,Central and Western,114.15145111083984,22.25770759582531,1,1
114.14892578125011,22.256023406982536,Central and Western,114.14892578125011,22.256023406982536,1,1
114.14598083496094,22.254760742187557,Central and Western,114.14598083496094,22.254760742187557,1,1
114.14471435546886,22.25560379028326,Central and Western,114.14471435546886,22.25560379028326,1,1
114.14475250244152,22.255718231201172,Central and Western,114.14475250244152,22.255718231201172,1,1
114.14489746093761,22.256143569946346,Central and Western,114.14489746093761,22.256143569946346,1,1
114.14513397216808,22.256866455078182,Central and Western,114.14513397216808,22.256866455078182,1,1
114.14513397216808,22.25812911987316,Central and Western,114.14513397216808,22.25812911987316,1,1
114.14429473876953,22.25897026062023,Central and Western,114.14429473876953,22.25897026062023,1,1
114.14302825927746,22.259813308715934,Central and Western,114.14302825927746,22.259813308715934,1,1
114.1421890258789,22.260654449462834,Central and Western,114.1421890258789,22.260654449462834,1,1
114.14232635498047,22.261075973510685,Central and Western,114.14232635498047,22.261075973510685,1,1
114.14260864257824,22.26191902160656,Central and Western,114.14260864257824,22.26191902160656,1,1
114.14209747314453,22.26268386840826,Central and Western,114.14209747314453,22.26268386840826,1,1
114.14176940917969,22.26318168640131,Central and Western,114.14176940917969,22.26318168640131,1,1
114.14112854003918,22.264146804809627,Central and Western,114.14112854003918,22.264146804809627,1,1
114.14093017578136,22.26444435119629,Central and Western,114.14093017578136,22.26444435119629,1,1
114.14070129394543,22.265108108520565,Central and Western,114.14070129394543,22.265108108520565,1,1
114.14058685302734,22.265459060669002,Central and Western,114.14058685302734,22.265459060669002,1,1
114.14050292968761,22.26570701599121,Central and Western,114.14050292968761,22.26570701599121,1,1
114.13924407958984,22.266550064086914,Central and Western,114.13924407958984,22.266550064086914,1,1
114.13844299316418,22.268144607544002,Central and Western,114.13844299316418,22.268144607544002,1,1
114.13768768310558,22.269298553466797,Central and Western,114.13768768310558,22.269298553466797,1,1
114.13755798339844,22.269496917724666,Central and Western,114.13755798339844,22.269496917724666,1,1
114.13748168945324,22.269733428955135,Central and Western,114.13748168945324,22.269733428955135,1,1
114.13736724853516,22.270072937011832,Central and Western,114.13736724853516,22.270072937011832,1,1
114.13713836669922,22.270759582519588,Central and Western,114.13713836669922,22.270759582519588,1,1
114.13545227050781,22.27244377136236,Central and Western,114.13545227050781,22.27244377136236,1,1
114.1347427368164,22.272916793823242,Central and Western,114.1347427368164,22.272916793823242,1,1
114.13419342041038,22.27328491210949,Central and Western,114.13419342041038,22.27328491210949,1,1
114.13124084472656,22.274969100952262,Central and Western,114.13124084472656,22.274969100952262,1,1
114.12660980224621,22.274969100952262,Central and Western,114.12660980224621,22.274969100952262,1,1
114.12493133544922,22.274129867553768,Central and Western,114.12493133544922,22.274129867553768,1,1
114.12324523925781,22.27328491210949,Central and Western,114.12324523925781,22.27328491210949,1,1
