Day of Week,Director,Genre,Movie Title,Release Date,Studio,IMDb Rating,MovieLens Rating
Friday,Cameron Crowe,comedy,Jerry Maguire,13/12/1996,Sony,7.3,3.63
Friday,Tom Shadyac,comedy,The Nutty Professor,28/6/1996,Universal,5.5,2.91
Wednesday,Jay Roach,comedy,Meet the Parents,22/12/2004,Universal,7,3.46
Friday,Richard Donner,action,Lethal Weapon 4,10/7/1998,WB,6.6,3.12
Wednesday,"Danny Boyle, Loveleen Tandan",drama,Slumdog Millionaire,12/11/2008,Fox Searchlight Pictures,8,3.96
Friday,Ridley Scott,adventure,Prometheus,8/6/2012,Fox,7,3.43
Friday,Guillermo del Toro,action,Pacific Rim,12/7/2013,WB,6.1,2.78
Friday,Renny Harlin,action,Cliffhanger,28/5/1993,TriStar,6.4,3.07
Friday,Ron Howard,biography,A Beautiful Mind,21/12/2001,Universal,8.2,3.93
Friday,John Madden,comedy,Shakespeare in Love,11/12/1998,MiraMax,7.2,3.84
Friday,"Conrad Vernon, Rob Letterman",animation,Monsters Vs. Aliens,27/3/2009,Pacific Data/DreamWorks,6.6,3.29
Wednesday,"Carlos Saldanha, Michael Thurmeier",animation,Ice Age,1/7/2009,Fox,7.6,3.61
Saturday,Chris Weitz,adventure,The Golden Compass,1/12/2007,New Line Cinema,6.1,3.18
Friday,Joe Johnston,adventure,"Honey, I Shrunk the Kids",23/6/1989,Buena Vista Studios,6.2,2.69
Friday,J. J. Abrams,sci-fi,Star Trek,8/5/2009,Paramount Pictures,8,3.97
Friday,Rob Minkoff,adventure,Stuart Little,17/12/1999,Sony,5.9,2.91
Friday,Catherine Hardwicke,drama,Twilight,21/11/2008,Summit Entertainment,5.2,2.76
Friday,Ivan Reitman,comedy,Twins,9/12/1988,Universal,5.9,2.82
Friday,Joseph Kosinski,action,Tron Legacy,17/12/2010,Buena Vista Studios,6.8,3.38
Wednesday,Renny Harlin,action,Die Hard 2: Die Harder,4/7/1990,Fox,7.1,3.42
Friday,Richard Donner,action,Lethal Weapon 2,7/7/1989,WB,7.2,3.29
Friday,Alex Proyas,sci-fi,"I, Robot",16/7/2004,Fox,7.1,3.46
Friday,Jon Turteltaub,adventure,National Treasure,19/11/2004,Buena Vista Studios,6.9,3.42
Wednesday,Adrian Lyne,drama,Indecent Proposal,7/4/1993,Paramount Pictures,5.8,2.85
Wednesday,Len Wiseman,action,Live Free or Die Hard,27/6/2007,Fox,7.2,3.58
Tuesday,Quentin Tarantino,adventure,Django Unchained,25/12/2012,Weinstein Company,8.5,4.04
Friday,Brad Peyton,action,San Andreas,29/5/2015,WB,6.6,2.84
Friday,Garry Marshall,comedy,Runaway Bride,30/7/1999,Paramount Pictures,6.6,3.46
Friday,Rob Cohen,action,The Mummy: Tomb of the Dragon Emperor,1/8/2008,Universal,5.2,2.63
Friday,P. J. Hogan,comedy,My Best Friend's Wedding,20/6/1997,Sony,7.1,3.33
Friday,"Barry Cook, Tony Bancroft",animation,Mulan,19/6/1998,Buena Vista Studios,7.5,2.84
Wednesday,Sydney Pollack,thriller,The Firm,30/6/1993,Paramount Pictures,6.8,3.5
Thursday,Robert Zemeckis,action,Back to the Future Part III,24/5/1990,Universal,7.4,3.24
Thursday,Jay Roach,comedy,Austin Powers: The Spy Who Shagged Me,10/6/1999,New Line Cinema,6.6,3.21
Friday,Emile Ardolino,drama,Dirty Dancing,21/8/1987,Vestron Pictures,6.8,3.22
Friday,Andy Tennant,comedy,Hitch,11/2/2005,Sony,8.2,3.94
Friday,Tom Shadyac,comedy,Liar Liar,21/3/1997,Universal,6.8,3.21
Friday,"Brad Silberling, Phil Nibbelink",comedy,Casper,26/5/1995,Universal,6,2.9
Wednesday,"Olivier Nakache, Eric Toledano",drama,The Intouchables,2/11/2011,Weinstein Company,8.6,4.14
Friday,Tom Hooper,biography,The King's Speech,26/11/2010,Weinstein Company,8.1,4.02
Friday,Tim Burton,action,Batman Returns,19/6/1992,WB,7,3.09
Friday,Peter Weir,drama,Dead Poets Society,2/6/1989,Buena Vista Studios,8,3.89
Friday,"George Miller, Warren Coleman, Judy Morris",animation,Happy Feet,17/11/2006,WB,6.5,3.13
Friday,Michael Apted,adventure,The Chronicles of Narnia: The Voyage of the Dawn Treader,10/12/2010,Fox,6.4,3.36
Friday,Wolfgang Petersen,action,The Perfect Storm,30/6/2000,WB,6.4,3.08
Wednesday,Christopher Nolan,action,Batman Begins,15/6/2005,WB,8.3,3.97
Friday,Steven Soderbergh,thriller,Ocean's Twelve,10/12/2004,WB,6.4,3.25
Tuesday,Tom Hooper,drama,Les Miserables (2012),25/12/2012,Universal,6,2.92
Friday,Shawn Levy,comedy,Night at the Museum: Battle of the Smithsonian,22/5/2009,Fox,5.9,3.01
Friday,Michael Patrick King,comedy,Sex and the City,30/5/2008,WB/New Line,6.9,2.93
Friday,Gavin Hood,action,The Wolverine,1/5/2009,Fox,6.7,3.24
Friday,Luc Besson,action,Lucy,25/7/2014,Universal,6.4,3.05
Wednesday,Bryan Singer,action,Superman Returns,28/6/2006,WB,6.1,3.12
Friday,"Bibo Bergeron, Rob Letterman, Vicky Jenson",animation,Shark Tale,1/10/2004,DreamWorks,6,2.91
Friday,Andrew Adamson,action,The Chronicles of Narnia: Prince Caspian,16/5/2008,Buena Vista Studios,6.6,3.31
Wednesday,Steven Spielberg,biography,Catch Me If You Can,25/12/2002,DreamWorks,8,3.85
Wednesday,James L. Brooks,comedy,As Good as It Gets,24/12/1997,Sony,7.8,3.79
Friday,Brett Ratner,comedy,Rush Hour 2,3/8/2001,New Line Cinema,6.6,3.23
Friday,Wolfgang Petersen,action,Air Force One,25/7/1997,Sony,6.4,3.33
Friday,Ron Howard,thriller,Ransom,8/11/1996,Buena Vista Studios,5.4,2.88
Friday,J. J. Abrams,action,Mission: Impossible III,5/5/2006,Paramount Pictures,6.8,3.31
Friday,"Phil Lord, Chris Miller",animation,The LEGO Movie,7/2/2014,WB,7.8,3.75
Friday,Ridley Scott,thriller,Hannibal,9/2/2001,MGM,8.7,3.15
Friday,Steven Spielberg,sci-fi,Minority Report,21/6/2002,Fox,7.7,3.66
Friday,Kenneth Branagh,action,Thor,6/5/2011,Paramount Pictures,7,3.51
Friday,Paul Verhoeven,action,Total Recall,1/6/1990,Sony,7.5,3.18
Thursday,Jonathan Demme,thriller,The Silence of the Lambs,14/2/1991,Orion,8.6,4.18
Friday,Ron Howard,comedy,How the Grinch Stole Christmas,17/11/2000,Universal,6,2.91
Wednesday,J. J. Abrams,action,Star Trek Into Darkness,15/5/2013,Paramount Pictures,7.8,3.82
Wednesday,"John Cornell, Mark Turnbull",action,Crocodile Dundee II,25/5/1988,Paramount Pictures,5.5,2.57
Friday,"Eric Leighton, Ralph Zondag",animation,Dinosaur,19/5/2000,Buena Vista Studios,6.4,3.12
Wednesday,Stephen Herek,animation,101 Dalmatians (1996),27/11/1996,Buena Vista Studios,5.6,3.1
Friday,Tim Burton,action,Planet of the Apes (2001),27/7/2001,Fox,5.7,2.74
Friday,Jonathan Liebesman,action,Teenage Mutant Ninja Turtles (2014),8/8/2014,Paramount Pictures,7.9,3.84
Friday,Joel Zwick,comedy,My Big Fat Greek Wedding,19/4/2002,IFC,6.6,3.46
Friday,Rob Cohen,action,Fast and Furious,22/6/2001,Universal,6.7,2.88
Friday,Rich Moore,animation,Wreck-It Ralph,2/11/2012,Buena Vista Studios,7.8,3.82
Wednesday,Betty Thomas,animation,Alvin and the Chipmunks: The Squeakquel,23/12/2009,Fox,4.4,2.13
Friday,"Gary Trousdale, Kirk Wise",animation,The Hunchback of Notre Dame,21/6/1996,Buena Vista Studios,6.8,3.3
Friday,Roger Spottiswoode,action,Tomorrow Never Dies,19/12/1997,MGM,6.5,3.23
Wednesday,Joe Johnston,action,Jurassic Park III,18/7/2001,Universal,5.9,2.65
Friday,Carlos Saldanha,animation,Rio 2,11/4/2014,Fox,6.4,3.08
Friday,Sam Raimi,adventure,Oz The Great and Powerful,8/3/2013,Buena Vista Studios,6.4,2.99
Friday,Michael Bay,action,The Rock,7/6/1996,Buena Vista Studios,7.4,3.7
Friday,Paul Greengrass,action,The Bourne Ultimatum,3/8/2007,Universal,8.1,3.98
Wednesday,Sam Mendes,drama,American Beauty,15/9/1999,DreamWorks,8.4,4.17
Friday,Rupert Wyatt,sci-fi,Rise of the Planet of the Apes,5/8/2011,Fox,8.6,4.07
Friday,Mimi Leder,action,Deep Impact,8/5/1998,Paramount Pictures,6.1,2.95
Friday,David Fincher,crime,Seven,22/9/1995,New Line Cinema,8.7,4.05
Friday,Carlos Saldanha,animation,Rio,15/4/2011,Fox,7,3.36
Friday,Michael Apted,action,The World Is Not Enough,19/11/1999,MGM,6.4,3.2
Friday,Nancy Meyers,comedy,What Women Want,15/12/2000,Paramount Pictures,6.4,3.14
Friday,Todd Phillips,comedy,The Hangover,5/6/2009,WB,7.8,3.77
Friday,Roger Michell,comedy,Notting Hill,28/5/1999,Universal,7,3.45
Friday,Zack Snyder,action,300,9/3/2007,WB,7.8,3.68
Friday,Jon Turteltaub,action,National Treasure: Book of Secrets,21/12/2007,Buena Vista Studios,6.5,3.3
Friday,Joel Schumacher,action,Batman Forever,16/6/1995,WB,5.4,2.92
Wednesday,Steven Spielberg,adventure,Hook,11/12/1991,TriStar,6.7,3.18
Thursday,Bryan Singer,action,X2: X-Men United,24/4/2003,Fox,7.5,3.68
Wednesday,Steven Spielberg,biography,Schindler's List,15/12/1993,Universal,8.9,4.31
Wednesday,John Lasseter,animation,A Bug's Life,25/11/1998,Buena Vista Studios,7.2,3.61
Friday,Gareth Edwards,action,Godzilla (2014),16/5/2014,WB,6.5,2.96
Friday,Louis Leterrier,action,Clash of the Titans,2/4/2010,WB,5.8,2.8
Friday,Ron Howard,thriller,Angels & Demons,15/5/2009,Sony,6.7,3.28
Friday,Kenneth Branagh,drama,Cinderella,13/3/2015,Buena Vista Studios,7.3,3.48
Friday,M. Night Shyamalan,drama,Signs,2/8/2002,Buena Vista Studios,6.7,3.27
Wednesday,"Bobby Farrelly, Peter Farrelly",comedy,There's Something About Mary,15/7/1998,Fox,7.1,3.55
Friday,"Chris Sanders, Dean DeBlois",animation,How to Train Your Dragon,26/3/2010,Pacific Data/DreamWorks,8.2,4.01
Friday,"Mike Babriel, Eric Goldberg",animation,Pocahontas,23/6/1995,Buena Vista Studios,6.6,2.94
Friday,Brett Ratner,action,X-Men: The Last Stand,26/5/2006,Fox,6.8,3.36
Friday,"John Lasseter, Joe Ranft",animation,Cars,9/6/2006,Buena Vista Studios,7.2,3.51
Friday,Richard Donner,action,Lethal Weapon 3,15/5/1992,WB,6.7,3.28
Friday,Brian Levant,comedy,The Flintstones,27/5/1994,Universal,4.8,2.43
Friday,Martin Campbell,action,GoldenEye,17/11/1995,MGM,7.2,3.44
Thursday,Clint Eastwood,action,American Sniper,25/12/2014,WB,7.4,3.5
Friday,Marc Forster,sci-fi,World War Z,21/6/2013,Paramount Pictures,7,3.36
Wednesday,"Andy Wachowski, Lana Wachowski",sci-fi,The Matrix Revolutions,5/11/2003,WB,6.7,3.15
Wednesday,Gareth Edwards,action,Godzilla,20/5/1998,Sony,6.5,2.96
Friday,Ron Howard,adventure,Apollo 13,30/6/1995,Universal,7.6,3.88
Friday,Richard Stanley,drama,Brave,22/6/2012,Buena Vista Studios,7.2,3.59
Friday,Stephen Sommers,action,The Mummy,4/5/2001,Universal,7,1.5
Tuesday,Jonathan Mostow,action,Terminator 3: Rise of the Machines,1/7/2003,WB,6.4,3.12
Friday,Greg MacGillivray,action,Speed,10/6/1994,Fox,7.2,3.5
Friday,Charles Russell,comedy,The Mask,29/7/1994,New Line Cinema,6.8,3.18
Wednesday,John Lasseter,animation,Toy Story,22/11/1995,Buena Vista Studios,8.3,3.92
Friday,Seth MacFarlane,comedy,Ted,29/6/2012,Universal,7,3.35
Friday,Amy Heckerling,romance,Look Who's Talking,13/10/1989,TriStar,5.8,2.67
Friday,Sam Taylor-Wood,drama,Fifty Shades of Grey,13/2/2015,Universal,4.2,1.95
Friday,Lee Tamahori,action,Die Another Day,22/11/2002,MGM,6.1,3.14
Friday,John McTiernan,action,Die Hard: With A Vengeance,19/5/1995,Fox,7.6,3.49
Friday,Andrew Stanton,animation,WALL-E,27/6/2008,Buena Vista Studios,8.4,4.04
Friday,Guy Ritchie,action,Sherlock Holmes: A Game of Shadows,16/12/2011,WB,7.5,3.8
Friday,Shawn Levy,adventure,Night at the Museum,19/12/2014,Fox,6.4,3.13
Friday,Tim Burton,adventure,Charlie and the Chocolate Factory,15/7/2005,WB,6.7,3.36
Wednesday,John Landis,comedy,Coming to America,29/6/1988,Paramount Pictures,6.9,3.5
Friday,Guy Ritchie,action,Sherlock Holmes,25/12/2009,WB,7.6,3.79
Friday,Stephen Sommers,action,The Mummy Returns,4/5/2001,Universal,6.3,2.94
Friday,Doug Liman,action,Mr. & Mrs. Smith,10/6/2005,Fox,6.5,3.26
Wednesday,Barry Sonnenfeld,action,Men in Black II,3/7/2002,Sony,7.6,3.61
Friday,Chris Miller,animation,Puss in Boots,28/10/2011,Pacific Data/DreamWorks,6.7,3.4
Friday,Edward Zwick,action,The Last Samurai,5/12/2003,WB,7.7,3.7
Friday,"Brad Lewis, John Lasseter",animation,Cars 2,24/6/2011,Buena Vista Studios,6.3,3.05
Friday,"Chris Renaud, Pierre Coffin",animation,Despicable Me,9/7/2010,Universal,7.7,3.81
Friday,Robert Zemeckis,adventure,Cast Away,22/12/2000,Fox,7.7,3.62
Friday,Raja Gosnell,animation,The Smurfs,29/7/2011,Sony,5.5,2.43
Friday,Paul Verhoeven,mystery,Basic Instinct,20/3/1992,TriStar,6.9,3.35
Friday,"Kirk DeMicco, Chris Sanders",animation,The Croods,22/3/2013,Fox,7.3,3.41
Friday,Michael Bay,action,Pearl Harbor,25/5/2001,Buena Vista Studios,6,2.85
Friday,David Silverman,animation,The Simpsons Movie,27/7/2007,Fox,7.4,3.51
Friday,Lewis Milestone,thriller,Ocean's Eleven,7/12/2001,WB,7.8,3.79
Friday,Andrew Davis,action,The Fugitive,6/8/1993,WB,7.8,3.99
Friday,James Cameron,action,True Lies,15/7/1994,Fox,7.2,3.5
Friday,Chris Columbus,comedy,Home Alone 2: Lost in New York,20/11/1992,Fox,6.5,2.52
Thursday,Todd Phillips,comedy,The Hangover Part II,26/5/2011,WB,6.5,3.09
Friday,Dean DeBlois,animation,How to Train Your Dragon 2,13/6/2014,Fox,7.9,3.73
Friday,Wolfgang Petersen,action,Troy,14/5/2004,WB,7.2,3.32
Friday,Tom Shadyac,comedy,Bruce Almighty,23/5/2003,Universal,6.7,3.22
Wednesday,Tony Scott,action,Beverly Hills Cop II,20/5/1987,Paramount Pictures,6.4,3.07
Wednesday,Ang Lee,adventure,Life of Pi,21/11/2012,Fox,8,3.8
Friday,Ridley Scott,action,Gladiator,5/5/2000,DreamWorks,8.5,3.96
Wednesday,John Woo,action,Mission: Impossible,24/5/2000,Paramount Pictures,7.1,3.39
Wednesday,Robert Zemeckis,adventure,Back to the Future Part II,22/11/1989,Universal,7.8,3.44
Wednesday,"Kevin Lima, Chris Buck",animation,Tarzan,16/6/1999,Buena Vista Studios,7.2,3.46
Wednesday,"Byron Howard, Nathan Greno",animation,Tangled,24/11/2010,Buena Vista Studios,7.8,3.85
Friday,Barry Sonnenfeld,action,MIB 3,25/5/2012,Sony,6.9,3.41
Friday,Jon Favreau,action,Iron Man,2/5/2008,Paramount Pictures,7.9,3.92
Friday,Marc Forster,action,Quantum of Solace,14/11/2008,Sony,6.7,3.38
Friday,"Tom McGrath, Eric Darnell",animation,Madagascar,27/5/2005,DreamWorks,6.9,3.1
Wednesday,Jay Roach,comedy,Meet the Fockers,22/12/2004,Universal,6.3,3.11
Friday,"Andrew Adamson, Vicky Jenson",animation,Shrek,18/5/2001,DreamWorks,7.9,3.85
Friday,"Christopher Williams, Don Hall",animation,Big Hero 6,7/11/2014,Buena Vista Studios,7.9,3.82
Friday,Alan Taylor,action,Thor: The Dark World,8/11/2013,Buena Vista Studios,7.1,3.51
Wednesday,"Andy Wachowski, Lana Wachowski",action,The Matrix,31/3/1999,WB,8.7,4.19
Friday,Justin Lin,action,Fast Five,29/4/2011,Universal,7.3,3.44
Wednesday,Robert Zemeckis,animation,Who Framed Roger Rabbit,22/6/1988,Buena Vista Studios,7.7,3.52
Wednesday,George P. Cosmatos,action,Rambo: First Blood Part II,22/5/1985,TriStar,6.4,2.8
Wednesday,Sylvester Stallone,action,Rocky IV,27/11/1985,UA Entertainment,6.7,2.82
Friday,"Tom McGrath, Eric Darnell",animation,Madagascar: Escape 2 Africa,7/11/2008,Pacific Data/DreamWorks,6.7,3.34
Friday,Adrian Lyne,drama,Fatal Attraction,18/9/1987,Paramount Pictures,6.9,3.44
Wednesday,Peter Jackson,adventure,King Kong,14/12/2005,Universal,7.3,3.34
Friday,Francis Lawrence,drama,I Am Legend,14/12/2007,WB,7.2,3.5
Friday,Phyllida Lloyd,comedy,Mamma Mia!,18/7/2008,Universal,6.4,3.17
Friday,Ivan Reitman,adventure,Ghostbusters,8/6/1984,Colombia Pictures,6.9,3.74
Wednesday,Christopher Nolan,sci-fi,Interstellar,5/11/2014,Paramount Pictures,8.7,4.05
Friday,Jon Favreau,action,Iron Man 2,7/5/2010,Paramount Pictures,7.1,3.61
Friday,Kevin Reynolds,action,Robin Hood: Prince of Thieves,14/6/1991,WB,6.9,3.28
Friday,Zack Snyder,action,Man of Steel,14/6/2013,WB,7.2,3.4
Friday,Roland Emmerich,sci-fi,The Day After Tomorrow,28/5/2004,Fox,6.4,3.05
Friday,Lewis Gilbert,action,Moonraker,29/6/1979,MGM,6.2,3.16
Wednesday,Peter Berg,action,Hancock,2/7/2008,Sony,6.5,3.22
Friday,"John Lasseter, Lee Unkrich, Ash Brannon",animation,Toy Story 2,19/11/1999,Buena Vista Studios,5.9,2.53
Wednesday,Mick Jackson,romance,The Bodyguard,25/11/1992,WB,7,3.34
Thursday,Jennifer Yuh Nelson,animation,Kung Fu Panda,5/6/2008,Pacific Data/DreamWorks,7.6,3.72
Friday,Steven Spielberg,action,Saving Private Ryan,24/7/1998,DreamWorks,7.6,3.65
Thursday,Jennifer Yuh Nelson,animation,Kung Fu Panda 2,26/5/2011,Pacific Data/DreamWorks,7.3,3.57
Friday,Martin Campbell,action,Casino Royale,17/11/2006,Sony,8,3.85
Friday,Matt Reeves,action,Dawn of the Planet of the Apes,11/7/2014,Fox,7.7,3.61
Friday,Peter Faiman,adventure,Crocodile Dundee,26/9/1986,Paramount Pictures,6.5,3.12
Friday,Marc Webb,action,The Amazing Spider-Man 2,2/5/2014,Sony,6.8,3.22
Friday,Barry Levinson,drama,Rain Man,16/12/1988,MGM,8,3.91
Friday,"Brad Bird, Jan Pinkava",animation,Ratatouille,29/6/2007,Buena Vista Studios,8,3.88
Friday,Gary Ross,action,The Hunger Games,23/3/2012,Lionsgate,7.3,3.71
Friday,"Joe Russo, Anthony Russo",action,Captain America: The Winter Soldier,4/4/2014,Buena Vista Studios,7.8,3.72
Wednesday,Steven Spielberg,action,War of the Worlds,29/6/2005,Paramount Pictures,6.5,3.15
Wednesday,Martin Brest,action,Beverly Hills Cop,5/12/1984,Paramount Pictures,7.3,3.54
Wednesday,Chris Columbus,comedy,Mrs. Doubtfire,24/11/1993,Fox,8,3.73
Friday,Alfonso Cuar„n,drama,Gravity,4/10/2013,WB,7.9,3.75
Friday,Brad Bird,action,Mission: Impossible - Ghost Protocol,16/12/2011,Paramount Pictures,7.4,3.64
Wednesday,"Gary Trousdale, Kirk Wise",animation,Beauty and the Beast,13/11/1991,Buena Vista Studios,7.2,3.67
Friday,Jan de Bont,action,Twister,10/5/1996,WB,6.3,3.23
Friday,Bryan Singer,action,X-Men: Days of Future Past,23/5/2014,Fox,8.1,3.82
Friday,Bill Condon,adventure,The Twilight Saga: Breaking Dawn Part 1,18/11/2011,Summit Entertainment,5.6,2.49
Wednesday,John Woo,action,Mission: Impossible II,24/5/2000,Paramount Pictures,6,2.96
Friday,Francis Lawrence,adventure,The Hunger Games: Mockingjay - Part 1,21/11/2014,Lionsgate,6.8,3.47
Friday,"Pete Docter, Lee Unkrich, David Silverman",animation,"Monsters, Inc.",2/11/2001,Buena Vista Studios,8.1,3.88
Friday,Dan Scanlon,animation,Monsters University,21/6/2013,Buena Vista Studios,7.4,3.65
Wednesday,David Slade,drama,The Twilight Saga: Eclipse,30/6/2010,Summit Entertainment,4.9,2.67
Friday,Robert Stromberg,action,Maleficent,30/5/2014,Buena Vista Studios,7,3.37
Wednesday,Steven Spielberg,action,Indiana Jones and the Temple of Doom,23/5/1984,Paramount Pictures,7.6,3.68
Wednesday,Mel Gibson,drama,The Passion of the Christ,25/2/2004,New Market Films,7.1,3.19
Friday,Kevin Costner,adventure,Dances with Wolves,9/11/1990,Orion,8,3.74
Friday,"Eric Darnell, Conrad Vernon, Tom McGrath",animation,Madagascar 3: Europe's Most Wanted,8/6/2012,Pacific Data/DreamWorks,7,3.32
Friday,Tony Scott,action,Top Gun,16/5/1986,Paramount Pictures,6.8,3.41
Friday,James Gunn,action,Guardians of the Galaxy,1/8/2014,Buena Vista Studios,8.1,3.85
Friday,Carlos Saldanha,animation,Ice Age: The Meltdown,31/3/2006,Fox,6.9,3.35
Tuesday,Marc Webb,action,The Amazing Spider-Man,3/7/2012,Sony,7.1,3.22
Friday,Chris Weitz,drama,The Twilight Saga: New Moon,20/11/2009,Summit Entertainment,4.6,2.58
Friday,Tim Burton,action,Batman,23/6/1989,WB,7.6,3.38
Friday,Brad Bird,animation,The Incredibles,5/11/2004,Buena Vista Studios,8,3.91
Friday,Justin Lin,action,Fast & Furious 6,24/5/2013,Universal,7.2,3.33
Wednesday,Michael Bay,action,Armageddon,1/7/1998,Buena Vista Studios,6.6,2.4
Friday,Pete Docter,animation,Up,29/5/2009,Buena Vista Studios,8.3,4.04
Tuesday,Michael Bay,action,Transformers,3/7/2007,Pacific Data/DreamWorks,7.1,3.33
Friday,Mike Mitchell,animation,Shrek Forever After,21/5/2010,Pacific Data/DreamWorks,6.4,3.27
Wednesday,Robert Zemeckis,adventure,Back to the Future,3/7/1985,Universal,8.5,3.91
Friday,Garry Marshall,comedy,Pretty Woman,23/3/1990,Buena Vista Studios,6.9,3.43
Wednesday,Gore Verbinski,action,Pirates of the Caribbean: The Curse of the Black Pearl,9/7/2003,Buena Vista Studios,8.1,3.86
Friday,Roland Emmerich,action,2012,13/11/2009,Sony,5.8,2.8
Wednesday,"Ron Clements, John Musker",animation,Aladdin,11/11/1992,Buena Vista Studios,8,3.68
Thursday,George Lucas,sci-fi,Star Wars: Episode II - Attack of the Clones,16/5/2002,Fox,6.7,3.12
Friday,Bill Condon,drama,The Twilight Saga: Breaking Dawn Part 2,16/11/2012,Lionsgate/Summit,8.2,2.67
Friday,Chris Columbus,adventure,Home Alone,16/11/1990,Fox,7.4,3.09
Thursday,Steven Spielberg,action,Indiana Jones and the Kingdom of the Crystal Skull,22/5/2008,Paramount Pictures,6.2,2.95
Wednesday,Barry Sonnenfeld,action,Men in Black,2/7/1997,Sony,7.2,3.56
Friday,Francis Lawrence,action,The Hunger Games: Catching Fire,22/11/2013,Lionsgate,7.7,3.73
Friday,Ron Howard,thriller,The Da Vinci Code,19/5/2006,Sony,6.5,3.13
Friday,Christopher Nolan,action,Inception,16/7/2010,WB,8.8,4.16
Friday,Andrew Adamson,adventure,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",9/12/2005,Buena Vista Studios,6.9,3.48
Tuesday,James Cameron,action,Terminator 2: Judgment Day,2/7/1991,TriStar,8.5,3.93
Friday,"Steve Martino, Michael Thurmeier",animation,Ice Age: Continental Drift,13/7/2012,Fox,6.7,3.21
Wednesday,Steven Spielberg,action,Indiana Jones and the Last Crusade,24/5/1989,Paramount Pictures,8.3,4.01
Thursday,Steven Spielberg,action,The Lost World: Jurassic Park,22/5/1997,Universal,6.5,2.96
Friday,"Chris Miller, Raman Hui",animation,Shrek the Third,18/5/2007,Pacific Data/DreamWorks,6,3.09
Friday,Jerry Zucker,drama,Ghost,13/7/1990,Paramount Pictures,7,3.45
Wednesday,Michael Bay,action,Transformers: Revenge of the Fallen,24/6/2009,Pacific Data/DreamWorks,6,2.95
Friday,John Badham,drama,Saturday Night Fever,16/12/1977,Paramount Pictures,6.8,3.28
Thursday,"Lana Wachowski, Andy Wachowski",sci-fi,The Matrix Reloaded,15/5/2003,WB,7.2,3.3
Wednesday,Peter Jackson,adventure,The Hobbit: The Battle of the Five Armies,17/12/2014,WB,7.5,3.43
Friday,M. Night Shyamalan,drama,The Sixth Sense,6/8/1999,Buena Vista Studios,8.2,4.06
Friday,Peter Jackson,adventure,The Hobbit: The Desolation of Smaug,13/12/2013,WB,8,3.74
Wednesday,"Carlos Saldanha, Michael Thurmeier",animation,Ice Age: Dawn of the Dinosaurs,1/7/2009,Fox,7,3.4
Wednesday,Sam Raimi,action,Spider-Man 2,30/6/2004,Sony,7.3,3.55
Tuesday,"Chris Renaud, Pierre Coffin",animation,Despicable Me 2,2/7/2013,Universal,7.5,3.74
Friday,Alfonso Cuar„n,adventure,Harry Potter and the Prisoner of Azkaban,4/6/2004,WB,7.8,3.75
Friday,Steven Spielberg,action,Raiders of the Lost Ark,12/6/1981,Paramount Pictures,8.6,4.21
Friday,Sam Raimi,action,Spider-Man 3,4/5/2007,Sony,6.2,3.02
Thursday,George Lucas,action,Star Wars: Episode III - Revenge of the Sith,19/5/2005,Fox,7.7,3.47
Wednesday,David Yates,adventure,Harry Potter and the Half-Blood Prince,15/7/2009,WB,7.5,3.82
Friday,David Yates,adventure,Harry Potter and the Deathly Hallows Part 1,19/11/2010,WB,8.1,3.89
Friday,Peter Jackson,adventure,The Hobbit: An Unexpected Journey,14/12/2012,WB,8,3.79
Wednesday,David Yates,adventure,Harry Potter and the Order of the Phoenix,11/7/2007,WB,7.4,3.74
Friday,Sam Raimi,action,Spider-Man,3/5/2002,Sony,7.3,3.57
Wednesday,Robert Zemeckis,drama,Forrest Gump,6/7/1994,Paramount Pictures,8.8,4.04
Friday,Mike Newell,adventure,Harry Potter and the Goblet of Fire,18/11/2005,WB,7.6,3.72
Friday,Gore Verbinski,action,Pirates of the Caribbean: At World's End,25/5/2007,Buena Vista Studios,7.1,3.4
Friday,Rob Marshall,action,Pirates of the Caribbean: On Stranger Tides,20/5/2011,Buena Vista Studios,6.7,3.34
Friday,Michael Bay,action,Transformers: Age of Extinction,27/6/2014,Paramount Pictures,5.8,2.53
Friday,Christopher Nolan,action,The Dark Knight,18/7/2008,WB,9,4.5
Friday,Tim Burton,adventure,Alice in Wonderland,5/3/2010,Buena Vista Studios,6.5,3.27
Friday,Christopher Nolan,action,The Dark Knight Rises,20/7/2012,WB,8.5,4.01
Wednesday,Richard Marquand,action,Return of the Jedi,25/5/1983,Fox,8.4,3.99
Thursday,Sam Mendes,action,Skyfall,8/11/2012,Sony,7.8,3.81
Wednesday,"Andrew Adamson, Kelly Asbury, Conrad Vernon",animation,Shrek 2,19/5/2004,DreamWorks,7.2,3.59
Friday,Lee Unkrich,animation,Toy Story 3,18/6/2010,Buena Vista Studios,8.4,4.01
Friday,Chris Columbus,adventure,Harry Potter and the Chamber of Secrets,15/11/2002,WB,7.3,3.58
Wednesday,Peter Jackson,action,The Lord of the Rings: The Fellowship of the Ring,19/12/2001,New Line Cinema,8.8,4.14
Wednesday,Michael Bay,action,Transformers: Dark of the Moon,29/6/2011,Pacific Data/DreamWorks,6.3,2.97
Wednesday,Steven Spielberg,drama,Close Encounters of the Third Kind,16/11/1977,Colombia Pictures,7.7,3.78
